country;cumulative_total_cases;daily_new_cases;active_cases;cumulative_total_deaths;daily_new_deaths
Afghanistan;40833.0;65.0;5190.0;1514.0;3.0
Afghanistan;40937.0;104.0;5269.0;1518.0;4.0
Afghanistan;41032.0;95.0;5292.0;1523.0;5.0
Afghanistan;41145.0;113.0;5379.0;1529.0;6.0
Afghanistan;41268.0;123.0;5497.0;1532.0;3.0
Afghanistan;41334.0;66.0;5543.0;1533.0;1.0
Afghanistan;41425.0;91.0;5568.0;1536.0;3.0
Afghanistan;41501.0;76.0;5639.0;1536.0;0.0
Afghanistan;41633.0;132.0;5750.0;1541.0;5.0
Afghanistan;41728.0;95.0;5829.0;1544.0;3.0
Afghanistan;41814.0;86.0;5904.0;1548.0;4.0
Afghanistan;41935.0;121.0;5941.0;1554.0;6.0
Afghanistan;41975.0;40.0;5981.0;1554.0;0.0
Afghanistan;42033.0;58.0;6031.0;1556.0;2.0
Afghanistan;42092.0;59.0;6076.0;1558.0;2.0
Afghanistan;42297.0;205.0;6002.0;1574.0;16.0
Afghanistan;42463.0;166.0;5932.0;1577.0;3.0
Afghanistan;42609.0;146.0;6061.0;1581.0;4.0
Afghanistan;42795.0;186.0;6180.0;1591.0;10.0
Afghanistan;42969.0;174.0;6338.0;1595.0;4.0
Afghanistan;43035.0;66.0;6363.0;1605.0;10.0
Afghanistan;43240.0;205.0;6531.0;1617.0;12.0
Afghanistan;43403.0;163.0;6640.0;1626.0;9.0
Afghanistan;43628.0;225.0;6830.0;1638.0;12.0
Afghanistan;43851.0;223.0;6911.0;1645.0;7.0
Afghanistan;44228.0;377.0;7228.0;1650.0;5.0
Afghanistan;44443.0;215.0;7412.0;1661.0;11.0
Afghanistan;44503.0;60.0;7406.0;1675.0;14.0
Afghanistan;44706.0;203.0;7085.0;1687.0;12.0
Afghanistan;44988.0;282.0;7317.0;1695.0;8.0
Afghanistan;45280.0;292.0;7446.0;1712.0;17.0
Afghanistan;45490.0;210.0;7620.0;1725.0;13.0
Afghanistan;45716.0;226.0;7747.0;1737.0;12.0
Afghanistan;45839.0;123.0;7804.0;1740.0;3.0
Afghanistan;45966.0;127.0;7505.0;1752.0;12.0
Afghanistan;46215.0;249.0;7721.0;1763.0;11.0
Afghanistan;46498.0;283.0;7936.0;1774.0;11.0
Afghanistan;46717.0;219.0;8013.0;1797.0;23.0
Afghanistan;46980.0;263.0;8132.0;1822.0;25.0
Afghanistan;47258.0;278.0;8115.0;1841.0;19.0
Afghanistan;47388.0;130.0;8194.0;1847.0;6.0
Afghanistan;47641.0;253.0;8291.0;1865.0;18.0
Afghanistan;47901.0;260.0;8244.0;1875.0;10.0
Afghanistan;48136.0;235.0;8250.0;1902.0;27.0
Afghanistan;48366.0;230.0;8425.0;1908.0;6.0
Afghanistan;48540.0;174.0;8469.0;1921.0;13.0
Afghanistan;48753.0;213.0;8593.0;1939.0;18.0
Afghanistan;48826.0;73.0;8611.0;1949.0;10.0
Afghanistan;48952.0;126.0;8664.0;1960.0;11.0
Afghanistan;49273.0;321.0;8918.0;1971.0;11.0
Afghanistan;49484.0;211.0;9099.0;1975.0;4.0
Afghanistan;49703.0;219.0;9202.0;2001.0;26.0
Afghanistan;49970.0;267.0;9305.0;2017.0;16.0
Afghanistan;50202.0;232.0;9484.0;2032.0;15.0
Afghanistan;50445.0;243.0;9687.0;2037.0;5.0
Afghanistan;50536.0;91.0;9683.0;2054.0;17.0
Afghanistan;50677.0;141.0;9430.0;2089.0;35.0
Afghanistan;50888.0;211.0;9098.0;2089.0;0.0
Afghanistan;51089.0;201.0;9200.0;2105.0;16.0
Afghanistan;51357.0;268.0;9331.0;2126.0;21.0
Afghanistan;51595.0;238.0;8889.0;2135.0;9.0
Afghanistan;51764.0;169.0;8951.0;2148.0;13.0
Afghanistan;51844.0;80.0;8674.0;2158.0;10.0
Afghanistan;52007.0;163.0;8506.0;2170.0;12.0
Afghanistan;52147.0;140.0;8355.0;2182.0;12.0
Afghanistan;52330.0;183.0;8340.0;2189.0;7.0
Afghanistan;52330.0;0.0;8340.0;2189.0;0.0
Afghanistan;52513.0;183.0;8306.0;2201.0;12.0
Afghanistan;52586.0;73.0;8200.0;2211.0;10.0
Afghanistan;52709.0;123.0;8197.0;2221.0;10.0
Afghanistan;52909.0;200.0;8274.0;2230.0;9.0
Afghanistan;53011.0;102.0;8244.0;2237.0;7.0
Afghanistan;53105.0;94.0;8195.0;2244.0;7.0
Afghanistan;53207.0;102.0;8114.0;2253.0;9.0
Afghanistan;53332.0;125.0;7784.0;2257.0;4.0
Afghanistan;53400.0;68.0;7696.0;2264.0;7.0
Afghanistan;53489.0;89.0;7472.0;2277.0;13.0
Afghanistan;53522.0;33.0;7286.0;2288.0;11.0
Afghanistan;53584.0;62.0;7146.0;2301.0;13.0
Afghanistan;53690.0;106.0;6774.0;2308.0;7.0
Afghanistan;53774.0;84.0;6607.0;2317.0;9.0
Afghanistan;53831.0;57.0;6209.0;2324.0;7.0
Afghanistan;53938.0;107.0;6168.0;2336.0;12.0
Afghanistan;53984.0;46.0;6180.0;2339.0;3.0
Afghanistan;54062.0;78.0;5851.0;2343.0;4.0
Afghanistan;54141.0;79.0;5436.0;2346.0;3.0
Afghanistan;54278.0;137.0;5370.0;2354.0;8.0
Afghanistan;54403.0;125.0;5281.0;2363.0;9.0
Afghanistan;54483.0;80.0;5226.0;2370.0;7.0
Afghanistan;54559.0;76.0;5274.0;2373.0;3.0
Afghanistan;54595.0;36.0;5274.0;2378.0;5.0
Afghanistan;54672.0;77.0;4989.0;2385.0;7.0
Afghanistan;54750.0;78.0;4996.0;2389.0;4.0
Afghanistan;54854.0;104.0;5006.0;2389.0;0.0
Afghanistan;54891.0;37.0;4945.0;2397.0;8.0
Afghanistan;54939.0;48.0;4957.0;2399.0;2.0
Afghanistan;55008.0;69.0;5002.0;2400.0;1.0
Afghanistan;55023.0;15.0;5014.0;2400.0;0.0
Afghanistan;55059.0;36.0;4976.0;2404.0;4.0
Afghanistan;55121.0;62.0;4993.0;2405.0;1.0
Afghanistan;55174.0;53.0;4970.0;2406.0;1.0
Afghanistan;55231.0;57.0;4842.0;2407.0;1.0
Afghanistan;55265.0;34.0;4863.0;2407.0;0.0
Afghanistan;55330.0;65.0;4904.0;2408.0;1.0
Afghanistan;55335.0;5.0;4898.0;2410.0;2.0
Afghanistan;55359.0;24.0;4905.0;2413.0;3.0
Afghanistan;55386.0;27.0;4930.0;2414.0;1.0
Afghanistan;55402.0;16.0;4875.0;2418.0;4.0
Afghanistan;55420.0;18.0;4868.0;2419.0;1.0
Afghanistan;55445.0;25.0;4742.0;2424.0;5.0
Afghanistan;55473.0;28.0;4656.0;2427.0;3.0
Afghanistan;55492.0;19.0;4673.0;2427.0;0.0
Afghanistan;55514.0;22.0;4692.0;2427.0;0.0
Afghanistan;55518.0;4.0;4657.0;2428.0;1.0
Afghanistan;55540.0;22.0;4598.0;2428.0;0.0
Afghanistan;55557.0;17.0;4501.0;2430.0;2.0
Afghanistan;55575.0;18.0;4347.0;2430.0;0.0
Afghanistan;55580.0;5.0;4347.0;2430.0;0.0
Afghanistan;55604.0;24.0;4352.0;2432.0;2.0
Afghanistan;55617.0;13.0;4350.0;2433.0;1.0
Afghanistan;55646.0;29.0;4316.0;2435.0;2.0
Afghanistan;55664.0;18.0;4261.0;2436.0;1.0
Afghanistan;55680.0;16.0;4156.0;2438.0;2.0
Afghanistan;55696.0;16.0;3973.0;2442.0;4.0
Afghanistan;55707.0;11.0;3979.0;2443.0;1.0
Afghanistan;55714.0;7.0;3983.0;2443.0;0.0
Afghanistan;55733.0;19.0;3956.0;2444.0;1.0
Afghanistan;55759.0;26.0;3969.0;2446.0;2.0
Afghanistan;55770.0;11.0;3977.0;2446.0;0.0
Afghanistan;55797.0;27.0;3991.0;2447.0;1.0
Afghanistan;55840.0;43.0;4029.0;2449.0;2.0
Afghanistan;55840.0;0.0;4029.0;2449.0;0.0
